index,title,price,rating,availability
1000,Data Science par la pratique,26.99,0,True
1001,Python en pratique pour le data scientist,30.99,0,True
1002,Introducing Data Science,34.12,0,True
1003,Data Science for Business,28.48,0,True
1004,Python pour la Data science Pour les Nuls,16.99,0,True
1005,Data Science and Predictive Analytics,63.29,0,True
1006,Data Science Fundamentals and Practical Approaches,8.91,5,True
1007,Data Science Fundamentals and Practical Approaches,8.91,0,True
1008,Data Science,15.32,0,True
1009,Human-Centered Data Science,27.93,0,True
1010,Data Science : fondamentaux et études de cas,24.99,0,True
1011,"Data Science and Analytics (with Python, R and SPSS Programming)",3.13,0,True
1012,Big Data Analytics and Data Science,232.09,0,True
1013,Data Science,58.01,0,True
1014,The Data Science Handbook,64.99,0,True
1015,Data Science and Big Data Analytics,147.69,0,True
1016,Data Science,67.51,0,True
1017,Practitioner’s Guide to Data Science,8.91,0,True
1018,"Data Science and Big Data: Foundations, Tools, and Techniques",7.31,0,True
1019,Fundamentals of Data Science,61.18,0,True
1020,Modern Artificial Intelligence and Data Science,189.89,0,True
1021,Big data et traçabilité numérique,9.99,0,True
1022,Data Science and Security,231.04,0,True
1023,"Python pour la Data Science, outils essentiels pour manipuler les données - collection O'Reilly",26.99,0,True
1024,Materials Discovery and Design,168.79,0,True
1025,500 Data Science Interview Questions and Answers,0.84,0,True
1026,Data Science for Mathematicians,152.98,0,True
1027,Principles of Data Science,30.58,0,True
1028,Applied Data Science,158.24,0,True
1029,Statistics for Data Science,27.42,0,True
1030,"Artificial Intelligence, Data Science and Applications",200.44,0,True
1031,Data Science,0.67,0,True
1032,Data Science and Applications,220.5,0,True
1033,Advanced Interdisciplinary Applications of Deep Learning for Data Science,235.17,0,True
1034,Data Science and AI Simplified,25.61,0,True
1035,Data Science Uncovering the Reality,2.67,0,True
1036,Data Science for Business,5.74,0,True
1037,Hands-On Data Analysis with Pandas,41.13,0,True
1038,Encyclopedia of Data Science and Machine Learning,3758.21,0,True
1039,DATA SCIENCE USING JDBC AND MYSQL WITH OBJECT-ORIENTED APPROACH AND APACHE NETBEANS IDE,8.94,0,True
